dataset,horizon,model,seed,mse,mae,run_id,name,model_type
ILI,60,Adaptive PhaseGate,2033,1.617925,0.777307,parallel_run_20260509_134027,kbs_adaptive16_ili_pl60_seed2033,frwkv_crossbranchperiodicpositiongate_adaptive
ILI,60,Adaptive PhaseGate,2034,1.659843,0.795247,parallel_run_20260509_134027,kbs_adaptive16_ili_pl60_seed2034,frwkv_crossbranchperiodicpositiongate_adaptive
ILI,60,Adaptive PhaseGate,2035,1.702188,0.80392,parallel_run_20260509_134027,kbs_adaptive16_ili_pl60_seed2035,frwkv_crossbranchperiodicpositiongate_adaptive
ILI,60,Adaptive PhaseGate,2036,1.693767,0.800358,parallel_run_20260509_134027,kbs_adaptive16_ili_pl60_seed2036,frwkv_crossbranchperiodicpositiongate_adaptive
ILI,60,Adaptive PhaseGate,2037,1.66092,0.790531,parallel_run_20260509_134027,kbs_adaptive16_ili_pl60_seed2037,frwkv_crossbranchperiodicpositiongate_adaptive
ILI,60,Adaptive PhaseGate,2038,1.766247,0.823093,parallel_run_20260509_134027,kbs_adaptive16_ili_pl60_seed2038,frwkv_crossbranchperiodicpositiongate_adaptive
ILI,60,Adaptive PhaseGate,2039,1.717495,0.808163,parallel_run_20260509_134027,kbs_adaptive16_ili_pl60_seed2039,frwkv_crossbranchperiodicpositiongate_adaptive
ILI,60,CrossBranchGate,2024,1.656925,0.792879,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl60_seed2024,frwkv_crossbranchgate
ILI,60,CrossBranchGate,2025,1.675557,0.793687,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl60_seed2025,frwkv_crossbranchgate
ILI,60,CrossBranchGate,2026,1.677062,0.797072,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl60_seed2026,frwkv_crossbranchgate
ILI,60,CrossBranchGate,2027,1.717488,0.807483,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl60_seed2027,frwkv_crossbranchgate
ILI,60,CrossBranchGate,2028,1.624449,0.780179,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl60_seed2028,frwkv_crossbranchgate
ILI,60,CrossBranchGate,2029,1.655312,0.793309,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl60_seed2029,frwkv_crossbranchgate
ILI,60,CrossBranchGate,2030,1.647498,0.793331,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl60_seed2030,frwkv_crossbranchgate
ILI,60,CrossBranchGate,2031,1.678735,0.799692,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl60_seed2031,frwkv_crossbranchgate
ILI,60,CrossBranchGate,2032,1.636128,0.787201,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl60_seed2032,frwkv_crossbranchgate
ILI,60,CrossBranchGate,2033,1.724702,0.808503,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl60_seed2033,frwkv_crossbranchgate
ILI,60,CrossBranchGate,2034,1.693577,0.801604,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl60_seed2034,frwkv_crossbranchgate
ILI,60,CrossBranchGate,2035,1.698368,0.793224,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl60_seed2035,frwkv_crossbranchgate
ILI,60,CrossBranchGate,2036,1.652811,0.78716,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl60_seed2036,frwkv_crossbranchgate
ILI,60,CrossBranchGate,2037,1.663972,0.795566,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl60_seed2037,frwkv_crossbranchgate
ILI,60,CrossBranchGate,2038,1.693566,0.800433,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl60_seed2038,frwkv_crossbranchgate
ILI,60,CrossBranchGate,2039,1.669831,0.79523,parallel_run_20260503_131828,kbs_fullabl16_crossbranchgate_ili_pl60_seed2039,frwkv_crossbranchgate
ILI,60,CrossBranchPhaseGate,2024,1.651035,0.794023,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl60_seed2024,frwkv_crossbranchphasegate
ILI,60,CrossBranchPhaseGate,2025,1.703622,0.805407,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl60_seed2025,frwkv_crossbranchphasegate
ILI,60,CrossBranchPhaseGate,2026,1.654261,0.782147,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl60_seed2026,frwkv_crossbranchphasegate
ILI,60,CrossBranchPhaseGate,2027,1.72416,0.80976,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl60_seed2027,frwkv_crossbranchphasegate
ILI,60,CrossBranchPhaseGate,2028,1.652805,0.788374,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl60_seed2028,frwkv_crossbranchphasegate
ILI,60,CrossBranchPhaseGate,2029,1.651693,0.790716,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl60_seed2029,frwkv_crossbranchphasegate
ILI,60,CrossBranchPhaseGate,2030,1.677108,0.79437,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl60_seed2030,frwkv_crossbranchphasegate
ILI,60,CrossBranchPhaseGate,2031,1.666882,0.795904,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl60_seed2031,frwkv_crossbranchphasegate
ILI,60,CrossBranchPhaseGate,2032,1.655357,0.795248,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl60_seed2032,frwkv_crossbranchphasegate
ILI,60,CrossBranchPhaseGate,2033,1.632324,0.787109,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl60_seed2033,frwkv_crossbranchphasegate
ILI,60,CrossBranchPhaseGate,2034,1.746811,0.81699,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl60_seed2034,frwkv_crossbranchphasegate
ILI,60,CrossBranchPhaseGate,2035,1.690069,0.80411,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl60_seed2035,frwkv_crossbranchphasegate
ILI,60,CrossBranchPhaseGate,2036,1.684248,0.793412,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl60_seed2036,frwkv_crossbranchphasegate
ILI,60,CrossBranchPhaseGate,2037,1.636331,0.783875,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl60_seed2037,frwkv_crossbranchphasegate
ILI,60,CrossBranchPhaseGate,2038,1.720685,0.80721,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl60_seed2038,frwkv_crossbranchphasegate
ILI,60,CrossBranchPhaseGate,2039,1.647371,0.783733,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl60_seed2039,frwkv_crossbranchphasegate
ILI,60,FRWKV,2024,1.690766,0.804107,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl60_seed2024,frwkv
ILI,60,FRWKV,2025,1.698063,0.801318,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl60_seed2025,frwkv
ILI,60,FRWKV,2026,1.692071,0.799301,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl60_seed2026,frwkv
ILI,60,FRWKV,2027,1.649966,0.785071,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl60_seed2027,frwkv
ILI,60,FRWKV,2028,1.682481,0.796649,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl60_seed2028,frwkv
ILI,60,FRWKV,2029,1.718923,0.805659,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl60_seed2029,frwkv
ILI,60,FRWKV,2030,1.736466,0.816468,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl60_seed2030,frwkv
ILI,60,FRWKV,2031,1.678073,0.800689,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl60_seed2031,frwkv
ILI,60,FRWKV,2032,1.692271,0.8016,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl60_seed2032,frwkv
