dataset,horizon,model,display_label,seed,mse,mae,run_id,source_file,source_kind,model_type,model_tag,config_name,selection_rule,candidate_count
ETTm2,720,CrossBranchPhaseGate,CrossBranchPhaseGate,2036,0.387390,0.386488,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchphasegate_ettm2_pl720_seed2036.json,status_json,frwkv_crossbranchphasegate,kbs_fullabl16_crossbranchphasegate_ettm2_pl720_seed2036,,best_single_run_by_mse_then_mae,32
Weather,96,Ours(selected),Ours(selected),2025,0.156426,0.193769,parallel_run_20260408_093213,experiment_runner/parallel_run_20260408_093213/logs/frwkv_phasegate_transfer_weather_pl96_pp12_seed2025.log,selected_system_audit,frwkv_crossbranchphasegate_adaptive,phasegate_transfer_sweep_weather_pl96_pp12_seed2025,,selected_system_audit_exact,1
Weather,96,FRWKV,FRWKV,2027,0.155954,0.191429,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_frwkv_weather_pl96_seed2027.json,status_json,frwkv,kbs_fullabl16_frwkv_weather_pl96_seed2027,,best_single_run_by_mse_then_mae,32
Weather,96,CrossBranchGate,CrossBranchGate,2029,0.156752,0.193360,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_weather_pl96_seed2029.json,status_json,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_weather_pl96_seed2029,,best_single_run_by_mse_then_mae,32
Weather,96,CrossBranchPhaseGate,CrossBranchPhaseGate,2027,0.156948,0.194849,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchphasegate_weather_pl96_seed2027.json,status_json,frwkv_crossbranchphasegate,kbs_fullabl16_crossbranchphasegate_weather_pl96_seed2027,,best_single_run_by_mse_then_mae,32
Weather,192,Ours(selected),Ours(selected),2028,0.205043,0.238439,parallel_run_20260411_181159,experiment_runner/parallel_run_20260411_181159/logs/kbs_adaptive_ms_weather_pl192_seed2028.log,selected_system_audit,frwkv_crossbranchphasegate_adaptive,kbs_adaptive_ms_weather_pl192_seed2028,,selected_system_audit_exact,1
Weather,192,FRWKV,FRWKV,2038,0.204743,0.241088,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_frwkv_weather_pl192_seed2038.json,status_json,frwkv,kbs_fullabl16_frwkv_weather_pl192_seed2038,,best_single_run_by_mse_then_mae,32
Weather,192,CrossBranchGate,CrossBranchGate,2034,0.205015,0.238888,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_weather_pl192_seed2034.json,status_json,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_weather_pl192_seed2034,,best_single_run_by_mse_then_mae,32
Weather,192,CrossBranchPhaseGate,CrossBranchPhaseGate,2027,0.205078,0.239950,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchphasegate_weather_pl192_seed2027.json,status_json,frwkv_crossbranchphasegate,kbs_fullabl16_crossbranchphasegate_weather_pl192_seed2027,,best_single_run_by_mse_then_mae,32
Weather,336,Ours(selected),Ours(selected),2024,0.263671,0.282206,parallel_run_20260411_181159,experiment_runner/parallel_run_20260411_181159/logs/kbs_adaptive_ms_weather_pl336_seed2024.log,selected_system_audit,frwkv_crossbranchphasegate_adaptive,kbs_adaptive_ms_weather_pl336_seed2024,,selected_system_audit_exact,1
Weather,336,FRWKV,FRWKV,2029,0.260949,0.281635,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_frwkv_weather_pl336_seed2029.json,status_json,frwkv,kbs_fullabl16_frwkv_weather_pl336_seed2029,,best_single_run_by_mse_then_mae,32
Weather,336,CrossBranchGate,CrossBranchGate,2036,0.262327,0.283137,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_weather_pl336_seed2036.json,status_json,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_weather_pl336_seed2036,,best_single_run_by_mse_then_mae,32
Weather,336,CrossBranchPhaseGate,CrossBranchPhaseGate,2029,0.262369,0.283104,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchphasegate_weather_pl336_seed2029.json,status_json,frwkv_crossbranchphasegate,kbs_fullabl16_crossbranchphasegate_weather_pl336_seed2029,,best_single_run_by_mse_then_mae,32
Weather,720,Ours(selected),Ours(selected),2033,0.341614,0.335317,parallel_run_20260418_161524,experiment_runner/parallel_run_20260418_161524/status/kbs_encattn_weather_pl720_linattn_seed2033.json,selected_system_audit,frwkv_crossbranchphasegate_adaptive,kbs_encattn_weather_pl720_linattn_seed2033,,selected_system_audit_exact,1
